model,image,garden,original_width,original_height,input_height,input_width,tp,fp,tn,fn,pred_boundary,true_boundary,matched_pred_boundary,matched_true_boundary,boundary_band_pixels,boundary_band_errors,mowable_iou,nonmowable_false_positive_rate,predicted_mowable_error_fraction,boundary_precision,boundary_recall,boundary_f1,boundary_band_error_rate,model_ms,end_to_end_ms
mit_resnet18_ade20k,images/3G0504442.jpg,3,4000,3000,600,800,8438794,61933,2656315,842958,26563,8780,766,753,39781,18432,0.9031548045551622,0.022784160974274607,0.007285612159995257,0.028837104242743664,0.08576309794988611,0.04316151888815003,0.4633367688092305,189.75686645507812,2731.900443000086
mit_resnet18_ade20k,images/3G0504480.jpg,3,4000,3000,600,800,8481158,241475,3277307,60,10082,11233,97,87,54806,27143,0.9723095837489638,0.0686245979432656,0.02768372806697244,0.009621106923229518,0.007745036944716461,0.008581735719352123,0.49525599386928437,45.357025146484375,2628.453236000496
mit_resnet18_ade20k,images/3G0504489.jpg,3,4000,3000,600,800,9134470,124205,2741325,0,9150,9697,270,251,45634,22626,0.9865850135143528,0.04334451218448245,0.013414986485647245,0.029508196721311476,0.025884294111580903,0.02757770344507654,0.49581452425822853,119.27513885498047,2699.577680999937
mit_resnet18_ade20k,images/3G0504540.jpg,3,4000,3000,600,800,7203946,210716,4583425,1913,12603,10213,1300,1297,46864,20518,0.9713305670070079,0.04395281657339657,0.028418827452957398,0.10315004364040307,0.12699500636443747,0.11383725566402124,0.4378200751109594,129.5485382080078,2658.6683140003515
mit_resnet18_ade20k,images/4G0102187.jpg,4,4000,3000,600,800,7547030,105105,3017537,1330328,46756,10626,1856,1994,49823,21744,0.8401960575846513,0.033658997733329664,0.013735382347540915,0.03969544015741295,0.18765292678336157,0.06552908759122794,0.436424944302832,146.6780548095703,2684.9217010003485
mit_resnet18_ade20k,images/4G0102190.jpg,4,4000,3000,600,800,6556642,116488,3060328,2266542,53130,10376,824,848,49332,22642,0.7334320543304049,0.03666816082517842,0.017456276140281998,0.015509128552606813,0.08172706245181187,0.02607085910501114,0.45897186410443525,43.241600036621094,2697.668865000196
mit_resnet18_ade20k,images/4G0112250.jpg,4,4000,3000,600,800,448726,82668,2774250,8694356,16308,9116,1178,1009,43328,20503,0.048638430479906784,0.02893607726928109,0.15556818481202273,0.07223448614177091,0.11068451075032909,0.08741835341049416,0.47320439438700146,235.91453552246094,2900.3016859996933
mit_resnet18_ade20k,images/4G0112270.jpg,4,4000,3000,600,800,938135,60198,2902549,8099118,13768,10624,132,145,49596,24592,0.10312064335383615,0.02031830595052497,0.060298517628887355,0.00958744915746659,0.013648343373493976,0.011263037230399137,0.4958464392289701,43.548641204833984,2621.9298280002477
mit_resnet18_ade20k,images/4G0122296.jpg,4,4000,3000,600,800,740707,57567,2949457,8252269,27426,9939,921,932,45727,21577,0.08184116687805361,0.019144177100016493,0.0721143366813901,0.03358127324436666,0.09377200925646444,0.049452725578456314,0.47186563736960657,99.2615966796875,2647.1923230001266
mit_resnet18_ade20k,images/4G0132342.jpg,4,4000,3000,600,800,7392578,146272,2692157,1768993,53560,9020,557,542,42098,19714,0.7942310586888928,0.05153273166247949,0.019402428752395923,0.010399551904406274,0.06008869179600887,0.017730487706754575,0.4682882797282531,237.75875854492188,2799.966159000178
mit_resnet18_ade20k,images/4G0132356.jpg,4,4000,3000,600,800,8534268,665058,2794329,6345,11588,9880,125,108,46231,22258,0.9270663702841433,0.1922473548059237,0.07229420938012197,0.010787021056265101,0.010931174089068825,0.010858619169725846,0.48145183967467714,41.75065612792969,2539.519218999885
mit_resnet18_ade20k,images/4G0142382.jpg,4,4000,3000,600,800,7752212,362787,3808321,76680,11066,10868,262,276,48926,23313,0.9463520238036671,0.08697617036048935,0.04470573563841474,0.023676125067775167,0.025395656974604344,0.02450576382939499,0.47649511507174097,174.90924072265625,2686.798963000001
mit_resnet18_ade20k,images/4G0152423.jpg,4,4000,3000,600,800,5703030,125145,2805112,3366713,28566,10054,686,513,46834,23152,0.6202392024785947,0.04270785804794597,0.021472416322433695,0.024014562766925717,0.05102446787348319,0.03265847855281063,0.494341717555622,180.96047973632812,2724.952268999914
mit_resnet18_ade20k,images/4G0162464.jpg,4,4000,3000,600,800,2994336,38361,3172677,5794626,40171,11183,362,379,52794,25414,0.3392122390899257,0.011946604182199028,0.012649137055234993,0.009011475940354983,0.03389072699633372,0.014237286200864369,0.4813804599007463,42.49776077270508,2737.9039709994686
mit_resnet18_ade20k,images/4G0162500.jpg,4,4000,3000,600,800,7092584,138545,2874900,1893971,51319,9812,767,822,46019,21404,0.7772609615237094,0.04597561926632144,0.01915952543510149,0.014945731600381925,0.08377496942519363,0.02536607205685807,0.46511223625024445,132.33946228027344,2780.306252999253
mit_resnet18_ade20k,images/4G0162508.jpg,4,4000,3000,600,800,427219,6497,2802490,8763794,20863,9046,157,167,40937,19784,0.046449419462441466,0.002312933452522208,0.014979848564498428,0.007525283995590279,0.018461198319699314,0.010692155911607324,0.4832791850892835,162.97952270507812,2817.21049799944
mit_resnet18_ade20k,images/4G0172540.jpg,4,4000,3000,600,800,5604734,87830,2730452,3576984,46672,8893,853,849,41643,19507,0.6046394063658768,0.031164376027665083,0.01542889987710283,0.018276482687692833,0.09546834589002587,0.030679646586122163,0.4684340705520736,120.98067474365234,2742.905236000297
mit_resnet18_ade20k,images/4G0192580.jpg,4,4000,3000,600,800,2473607,101233,2755800,6669360,32321,10823,1629,1678,50747,22624,0.26758475584690944,0.03543291239548161,0.039316229357940685,0.0504006682961542,0.1550401921833133,0.0760718123995995,0.44581945730782113,168.61334228515625,2747.281884999211
mit_resnet18_ade20k,images/4G0192633.jpg,4,4000,3000,600,800,0,0,3966202,8033798,0,11777,0,0,55854,27360,0.0,0.0,,,0.0,,0.4898485336770867,37.72163009643555,2717.45147799993
mit_resnet18_ade20k,images/4G0202650.jpg,4,4000,3000,600,800,0,0,6676558,5323442,0,18943,0,0,91630,45753,0.0,0.0,,,0.0,,0.4993233657099203,167.71212768554688,2756.0106359997008
mit_resnet18_ade20k,images/5G0313128.jpg,5,4000,3000,600,800,1455170,10607,4305011,6229212,14342,10937,1301,1408,53061,24793,0.18910618325770187,0.002457817165467379,0.0072364350102368915,0.09071259238599916,0.1287373137057694,0.10643062620565871,0.4672546691543695,46.344383239746094,2637.0313420002276
